,Title,Price,NumberReview,Review,url
0,Persian/Iranian Gift Coaster Set - Beh Salamati (to Prosperity) Inscribed in Persian Calligraphy - Set of 4 Decorative Coasters with Elegant Packaging  ,89.87,33,4.7 out of 5 stars,https://www.amazon.ca/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A09253932RMK14HBOOAJR&url=%2FPersian-Gift-Wine-Coaster-Set%2Fdp%2FB07RRB7BKP%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2ODRV04KOTK3K%26keywords%3Dpersian%26qid%3D1637448005%26sprefix%3Dpersian%252Caps%252C148%26sr%3D8-1-spons%26psc%3D1&qualifier=1637448005&id=4647807793598547&widgetName=sp_atf
1,Loloi Loren Collection Vintage Printed Persian Area Rug  ,90.78,186,4.2 out of 5 stars,https://www.amazon.ca/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A05575552OL43LK6ISGTX&url=%2FLoloi-LAYLLAY-06TASN160S-Layla-Sample-Swatch%2Fdp%2FB07NGZ1QGT%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2ODRV04KOTK3K%26keywords%3Dpersian%26qid%3D1637448005%26sprefix%3Dpersian%252Caps%252C148%26sr%3D8-2-spons%26psc%3D1&qualifier=1637448005&id=4647807793598547&widgetName=sp_atf
2,Round Mouse Pad Vintage Oriental Persian Floral Rug Mat Design Art (Black)  ,10.65,5,5.0 out of 5 stars,https://www.amazon.ca/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A06562362HCUN26F56IZW&url=%2FVintage-Oriental-Persian-Floral-Design%2Fdp%2FB08T6Z1GNB%2Fref%3Dsr_1_3_sspa%3Fcrid%3D2ODRV04KOTK3K%26keywords%3Dpersian%26qid%3D1637448005%26sprefix%3Dpersian%252Caps%252C148%26sr%3D8-3-spons%26psc%3D1&qualifier=1637448005&id=4647807793598547&widgetName=sp_atf
3,"A2Z Rug|Qashqai 5578 Transitional Multi Medallion Persian Style Red Pattern|Family Room Front Room Area Rug|Soft Short Pile|200x290cm - 6'7""x9'6""ft|Farmhouse Large Area Carpet  ",169.99,412,4.3 out of 5 stars,https://www.amazon.ca/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0698485JZ7ZHCQ8VKE6&url=%2FA2Z-Rug-Traditional-Qashqai-Collection%2Fdp%2FB0762QK9L6%2Fref%3Dsr_1_4_sspa%3Fcrid%3D2ODRV04KOTK3K%26keywords%3Dpersian%26qid%3D1637448005%26sprefix%3Dpersian%252Caps%252C148%26sr%3D8-4-spons%26psc%3D1&qualifier=1637448005&id=4647807793598547&widgetName=sp_atf
4,Persian/Iranian Gift Coaster Set - Beh Salamati (to Prosperity) Inscribed in Persian Calligraphy - Set of 4 Decorative Coasters with Elegant Packaging  ,89.87,33,4.7 out of 5 stars,https://www.amazon.ca/Persian-Gift-Wine-Coaster-Set/dp/B07RRB7BKP/ref=sr_1_5?crid=2ODRV04KOTK3K&keywords=persian&qid=1637448005&sprefix=persian%2Caps%2C148&sr=8-5
5,"nuLOOM RZBD32A Fancy Persian Vonda Area Rug, 2' x 3', Pink  ",31.98,604,4.1 out of 5 stars,https://www.amazon.ca/nuLOOM-Fancy-Persian-Vonda-Pink/dp/B06XDQXXC8/ref=sr_1_6?crid=2ODRV04KOTK3K&keywords=persian&qid=1637448005&sprefix=persian%2Caps%2C148&sr=8-6
6,Persian Area Rugs 3212 Navy 5x7 Area Rug  ,214.82,6,4.6 out of 5 stars,https://www.amazon.ca/Persian-Area-Rugs-3212-Navy/dp/B0741DMRX4/ref=sr_1_7?crid=2ODRV04KOTK3K&keywords=persian&qid=1637448005&sprefix=persian%2Caps%2C148&sr=8-7
7,"nuLOOM RZBD07A Vintage Persian Verona Oval Rug, 6' 7"" x 9', Blue  ",253.99,15,3.9 out of 5 stars,https://www.amazon.ca/Traditional-Persian-Vintage-Rugs-Inches/dp/B01H28NNJM/ref=sr_1_8?crid=2ODRV04KOTK3K&keywords=persian&qid=1637448005&sprefix=persian%2Caps%2C148&sr=8-8
8,Persian: 50 Common Phrases  ,0.00,Golabi,3.0 out of 5 stars,https://www.amazon.ca/Persian-Common-Phrases-Alex-Castle-ebook/dp/B015G5LDKE/ref=sr_1_9?crid=2ODRV04KOTK3K&keywords=persian&qid=1637448005&sprefix=persian%2Caps%2C148&sr=8-9
9,"Ladole Rugs Cream Beige Grey Persian Design Area Rug Carpet for Living Room Bedroom Hallway 5'2""x7'6"" (5x7 feet)  ",154.76,64,4.3 out of 5 stars,https://www.amazon.ca/LaDole-Rugs-Persian-Bedroom-Hallway/dp/B0811327N8/ref=sr_1_10?crid=2ODRV04KOTK3K&keywords=persian&qid=1637448005&sprefix=persian%2Caps%2C148&sr=8-10
10,"Persian Cold Wax Kit, Hair Removal Sugar Wax for Body Waxing Women & Men, 5 oz  ",12.99,103,4.1 out of 5 stars,https://www.amazon.ca/Persian-Removal-Sugar-Waxing-Women/dp/B002CPTPYS/ref=sr_1_11?crid=2ODRV04KOTK3K&keywords=persian&qid=1637448005&sprefix=persian%2Caps%2C148&sr=8-11
